"","Taxon","count"
"108","Pediastrum sp.",32.9580183954102
"109","Pennales UNID",404.790188811452
"110","Peridinium sp.",124.222970273165
"111","Phacus sp.",18.2269784172661
"112","Phormidium granulatum",643.441269841268
"113","Phormidium sp.",3956.28415441679
"114","Plagioselmis sp.",5124.55508555641
"115","Planktolyngbya sp.",184.920699803793
"116","Planothidium sp.",12.7392137896638
"117","Pleurosigma sp.",2.10395865117235
"118","Pleurosira laevis",0.986873113253482
"119","Protoceratium sp.",20.6629465644582
"120","Pseudanabaena mucicola",73.5366460905351
"121","Pseudanabaena sp.",10797.2344957193
"122","Pseudokephyrion sp.",3857.97897730113
"123","Pseudokephyrion spirale",5.36201058201058
"124","Pseudostaurosira sp.",1001.13616399123
"125","Pyramimonas sp.",95954.6303245255
"126","Raphidocelis subcapitata",0.597993745205641
"127","Rhodomonas sp.",1407.0059354226
"128","Rhoicosphenia sp.",12341.7108586006
"129","Rhopalodia gibba",2.67296743465591
"130","Scenedesmus acuminatus",6.34974937343358
"131","Scenedesmus armatus",17.3903045903046
"132","Scenedesmus dimorphus",79.1654984233619
"133","Scenedesmus sp.",571.156187663933
"134","Schroederia sp.",2.93662516316238
"135","Sellaphora sp.",0.986873113253481
"136","Sphaerocystis planktonica",34.4678095238095
"137","Spondylosium javanicum",42.5528512639624
"138","Staurastrum sp.",21.7599807599808
"139","Stenopterobia sp.",2.59361638614757
"140","Stephanodiscus sp.",1317.73195326467
"141","Strombomonas sp.",0.498666225749558
"142","Surirella sp.",399.415497547228
"143","Synechococcus sp.",19.2920255264332
"144","Synedra sp.",726.215129488133
"145","Synura sp.",8496.89617986998
"146","Tabellaria sp.",33.0472054883815
"147","Tabularia sp.",4.59600907029478
"148","Teleaulax sp.",14637.7966066507
"149","Tetraëdron minimum",12.433411228689
"150","Tetraëdron regulare",5.36201058201058
"151","Tetraspora sp.",151.891486810552
"152","Tetrastrum staurogeniaeforme",2.11658312447786
"153","Thalassiosira sp.",83.9847763652007
"154","Trachelomonas sp.",356.409359410484
"155","Trachelomonas volvocina",425.159429797935
"156","Tryblionella sp.",2.23417107583774
"157","Tychonema sp.",149.755202318107
"158","Xanthophyte UNID",12.8688253968254
